Designator,Mid X,Mid Y,Rotation,Layer
C1,140.385,-104.775,180.0,top
C2,153.475,-104.775,0.0,top
C3,180.975,-100.965,0.0,top
C4,183.515,-103.505,0.0,top
C5,120.015,-99.06,90.0,top
C6,123.19,-99.06,90.0,top
IC1,120.235,-103.62,0.0,top
IC2,179.925,-106.16,0.0,top
J2,147.125,-102.87,0.0,top
LED1,139.7,-93.545,90.0,top
LED2,147.955,-93.23,90.0,top
Q1,174.01,-97.155,180.0,top
R1,129.54,-98.745,90.0,top
R1k1,140.385,-101.6,0.0,top
R1k2,139.7,-97.47,270.0,top
R1k3,147.955,-97.155,270.0,top
R1k4,181.61,-97.79,0.0,top
R2,129.54,-94.3,90.0,top
S1,164.33,-99.06,270.0,top
