Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C10uF,CAPC2012X145N,140.385,-104.775,180.0,top
C2,C10uF,CAPC2012X145N,153.475,-104.775,0.0,top
C3,100nF,CAPC1005X55N,180.975,-100.965,0.0,top
C4,100nF,CAPC1005X55N,183.515,-103.505,0.0,top
C5,100nF,CAPC1005X55N,120.015,-99.06,90.0,top
C6,100nF,CAPC1005X55N,123.19,-99.06,90.0,top
IC1,DRV8837DSGT,SON50P200X200X80-9N,120.235,-103.62,0.0,top
IC2,DRV8837DSGT,SON50P200X200X80-9N,179.925,-106.16,0.0,top
J2,TP4056,SOIC127P600X175-9N,147.125,-102.87,0.0,top
LED1,KT-0605G,LEDC1608X70N,139.7,-93.545,90.0,top
LED2,KT-0603R,LEDC1608X70N,147.955,-93.23,90.0,top
Q1,AO3401A,SOT95P280X125-3N,174.01,-97.155,180.0,top
R1,R0805 1M,RESC2013X65N2,129.54,-98.745,90.0,top
R1k1,1.5k,RESC2013X65N,140.385,-101.6,0.0,top
R1k2,1k,RESC2013X65N,139.7,-97.47,-90.0,top
R1k3,1k,RESC2013X65N,147.955,-97.155,-90.0,top
R1k4,1k,RESC2013X65N,181.61,-97.79,0.0,top
R2,R0805 1M,RESC2013X65N2,129.54,-94.3,90.0,top
S1,MS-22D28-G020,MS22D28G020,164.33,-99.06,-90.0,top
