Comment,Designator,Footprint,LCSC
BPW41N,"U4,U5,U6",SENSOR-TH_BPW41N,C142586
SFH 4544,"U1,U2,U3",LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,C2900370
LM324DT,U7,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,C71035
MMBT2222A_C8512,"Q1,Q2,Q4",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C8512
1M,R1,R_0805_2012Metric,
2.2M,R7,R_0805_2012Metric,
2.2M,R9,R_0805_2012Metric,
6.8k,R6,R_0805_2012Metric,
1M,R2,R_0805_2012Metric,
6.8k,R4,R_0805_2012Metric,
6.8k,R5,R_0805_2012Metric,
1M,R3,R_0805_2012Metric,
2.2M,R8,R_0805_2012Metric,
